Y_true,Y_pred,with_uAUG
7.866827463380001,6.699478,0.0
6.656896452590001,6.717981,1.0
6.31626097541,6.671899,1.0
3.00593335246,6.648162,1.0
7.90362487643,6.6445127,0.0
2.68576571759,6.6823797,1.0
7.974090761,6.723975,0.0
7.7780665038600025,6.6910715,0.0
7.90730320605,6.6916313,1.0
7.9123925223399985,6.679964,0.0
5.53350696107,6.669142,1.0
7.18048853775,6.6494393,1.0
5.3995816538,6.6593523,1.0
4.29278452605,6.599914,1.0
3.91786017997,6.664053,1.0
7.057900974530001,6.628925,1.0
7.489913538160001,6.644533,1.0
7.75297571592,6.620971,1.0
7.89979466465,6.700112,0.0
4.66298003888,6.6847677,1.0
4.34416813243,6.6494045,1.0
3.8163454747099994,6.6491838,1.0
4.17338712033,6.6694493,1.0
4.7723487644,6.7560697,1.0
8.185552732689999,6.6103344,0.0
5.441592121869999,6.6622076,1.0
6.693645115140001,6.691135,0.0
8.13852684445,6.675908,0.0
6.26259539052,6.6373696,1.0
3.70541400878,6.7199693,1.0
6.67905386186,6.6537437,0.0
6.19895744084,6.5397687,1.0
8.210462426849999,6.742341,0.0
4.1880198805400015,6.7237062,1.0
4.89287513417,6.599169,1.0
8.25863129007,6.706561,0.0
8.02435608526,6.754377,0.0
8.72155381095,6.6634545,0.0
5.64313764411,6.5969896,1.0
5.05114083823,6.5953484,1.0
7.92762571732,6.75113,0.0
6.95906230729,6.666654,0.0
7.8755148222,6.6649737,0.0
8.13562507549,6.709269,0.0
7.50135469185,6.676103,1.0
6.3516947702,6.632346,1.0
7.986732884560001,6.6733375,0.0
3.09250369366,6.6464496,1.0
6.0087031288300015,6.595317,1.0
3.6917916126699994,6.6594515,1.0
7.762694542939999,6.6514087,0.0
4.1392486772099994,6.6926403,0.0
7.625104569589999,6.6765614,0.0
7.915997110419999,6.6351566,0.0
4.62620364593,6.6585774,1.0
7.04020697903,6.668067,0.0
7.356031765680001,6.7081437,0.0
7.2697060994700005,6.6403418,0.0
3.68171953273,6.628557,1.0
7.7573706522800006,6.6104155,0.0
7.72454509362,6.654186,0.0
6.47072161133,6.6094737,1.0
7.89660549143,6.6217747,0.0
4.7295172693800005,6.666084,1.0
7.122018219410001,6.725402,0.0
7.12610966227,6.6717286,0.0
3.2295698995599995,6.695169,1.0
7.615591190389999,6.6359773,0.0
7.48865872788,6.694259,0.0
4.86280821343,6.735566,1.0
7.01188913744,6.593006,0.0
3.7516803966800003,6.6625443,1.0
8.002821254099999,6.684453,0.0
3.4932372083999996,6.6738806,1.0
7.470701631769999,6.693767,0.0
7.9184819163699975,6.710656,0.0
8.41491673106,6.6946807,0.0
8.23088242022,6.637658,0.0
3.05299321163,6.667437,1.0
4.90728857518,6.6408334,1.0
7.533238344560001,6.6309037,0.0
7.63435986358,6.63543,0.0
7.22223761347,6.7019663,0.0
6.94001263548,6.597112,0.0
4.191967934130002,6.65409,1.0
4.03369699436,6.654256,1.0
4.74663343241,6.651067,1.0
8.78678025929,6.5916247,0.0
7.553383247010001,6.682846,0.0
7.6004813761,6.607748,1.0
8.175830776469999,6.694974,1.0
7.51144108878,6.669801,0.0
7.48115479992,6.6842737,0.0
3.95655482792,6.6964507,1.0
4.76994926546,6.619226,1.0
3.0358405420200003,6.654391,1.0
8.16148733292,6.701548,0.0
4.923493895959999,6.631669,1.0
7.718740229410001,6.693341,0.0
4.2882007770199975,6.73192,1.0
7.36882741954,6.6853185,0.0
6.795819089369999,6.7229366,0.0
3.4235005331299995,6.594748,1.0
8.231929833019999,6.6369963,0.0
7.05272610105,6.6440854,0.0
8.31493947675,6.649491,1.0
7.379039511789999,6.691783,0.0
4.58771586158,6.708306,1.0
8.40712004417,6.706978,0.0
7.65913261855,6.6526284,1.0
8.239755366699999,6.699571,0.0
8.438028256219999,6.7153206,0.0
3.86077136867,6.6281233,1.0
7.73016572173,6.680741,0.0
5.98815880044,6.662298,1.0
6.24500521513,6.6834016,1.0
8.35728233918,6.7072244,0.0
6.4442327262,6.685172,1.0
8.26280678592,6.698121,0.0
7.0583504897500005,6.605176,0.0
7.909771544389999,6.5875096,0.0
7.7651807571600004,6.699252,0.0
5.796957552389999,6.652872,1.0
7.90527980247,6.6316543,1.0
7.33002618704,6.6221824,1.0
6.9943638657800005,6.693493,0.0
7.782767479279999,6.619127,0.0
3.3754155097099994,6.726082,1.0
5.890325518200001,6.6133623,1.0
8.32013253132,6.66564,0.0
4.12236903451,6.6853228,1.0
5.42278683664,6.681286,1.0
8.225990867150001,6.6465797,0.0
6.50804198018,6.651376,0.0
7.50127382447,6.675021,0.0
8.426610993739999,6.6239367,0.0
8.114783439470001,6.7219934,0.0
4.55938862735,6.7431164,1.0
4.488874207069999,6.6996384,1.0
8.24482983869,6.6364074,0.0
7.962821371919999,6.666756,0.0
4.42920644167,6.6822314,1.0
4.02686971047,6.616782,1.0
3.99768610558,6.6897583,1.0
3.54570203857,6.6392555,1.0
7.76722626657,6.6259317,1.0
6.3032853275,6.6472325,1.0
5.5772104002,6.621731,1.0
5.4978515744,6.5958867,1.0
4.73273173042,6.6770315,1.0
7.947848795710001,6.638792,0.0
7.150702871519999,6.641424,0.0
3.17698156283,6.70622,1.0
7.88393665457,6.6735377,1.0
7.858580476439999,6.718355,0.0
7.70809587409,6.6367016,0.0
3.8133879600199996,6.578782,1.0
8.20771902385,6.691953,0.0
5.32814071454,6.5287757,1.0
3.87987102926,6.626607,1.0
7.598058254460001,6.6402464,0.0
3.6307440657,6.6522346,1.0
5.403097719859999,6.6435013,1.0
6.09208977676,6.677425,1.0
6.0455810881,6.634802,1.0
8.07563189135,6.727975,0.0
8.44650912895,6.6780643,1.0
8.28166623619,6.7004533,0.0
8.18707426079,6.6199927,0.0
4.6368386599199996,6.7479725,1.0
7.6193820838300015,6.70345,0.0
7.1231339895,6.66327,0.0
5.1791686029,6.634246,1.0
8.26196202087,6.711541,0.0
7.989598605710001,6.7184033,0.0
7.618653327989999,6.709609,0.0
7.727870759660001,6.615677,0.0
7.179612799139999,6.713789,0.0
7.71024186852,6.6509724,0.0
4.30417068723,6.6813583,1.0
7.7390866024800005,6.6818137,0.0
4.91077410013,6.718065,1.0
6.09708343996,6.645484,1.0
7.315535346110001,6.6004796,0.0
7.69585006885,6.6536775,1.0
6.18544709115,6.630377,1.0
7.915641577030001,6.7314954,0.0
5.40576527782,6.6347995,1.0
8.0182410216,6.6466765,0.0
5.57936720979,6.676542,1.0
7.407622142639999,6.6171184,0.0
8.13491827358,6.704526,0.0
6.664769586219999,6.6976185,1.0
4.28216277029,6.6442065,1.0
7.9022794029,6.6316657,0.0
