unmod1,human,vleng,Andrev2015,muscle,pc3,channel_name
-0.327,-0.412,-0.344,-0.093,-0.057,-0.139,filter_0
-0.48,-0.472,-0.478,-0.111,-0.132,-0.153,filter_1
-0.113,-0.343,-0.165,-0.059,-0.101,-0.081,filter_2
0.034,0.045,0.042,-0.006,0.024,0.042,filter_3
-0.143,-0.148,-0.186,-0.065,-0.111,-0.056,filter_4
0.009,-0.046,0.016,0.002,-0.011,-0.018,filter_5
0.058,-0.019,0.046,-0.002,0.095,-0.006,filter_6
-0.384,-0.42,-0.385,-0.121,-0.094,-0.145,filter_7
-0.183,0.104,-0.192,-0.019,0.03,0.041,filter_8
0.011,-0.1,-0.004,-0.012,-0.139,-0.062,filter_9
-0.05,0.147,-0.057,-0.012,0.044,0.053,filter_10
-0.033,0.019,-0.08,-0.026,-0.176,0.034,filter_11
0.028,0.215,0.003,0.003,-0.098,0.029,filter_12
-0.123,0.013,-0.117,-0.039,-0.043,-0.018,filter_13
0.008,0.028,-0.003,-0.002,-0.131,0.011,filter_14
-0.225,-0.24,-0.234,-0.09,-0.04,-0.082,filter_15
-0.264,-0.117,-0.268,-0.065,-0.095,-0.044,filter_16
-0.364,-0.298,-0.393,-0.093,-0.124,-0.084,filter_17
0.018,-0.176,-0.041,-0.03,-0.088,-0.017,filter_18
-0.087,-0.265,-0.073,-0.027,-0.034,-0.115,filter_19
0.004,0.085,0.011,-0.0,0.058,0.01,filter_20
-0.025,-0.054,-0.047,-0.009,-0.027,0.003,filter_21
-0.246,-0.073,-0.244,-0.035,-0.044,-0.009,filter_22
-0.109,-0.047,-0.107,-0.017,-0.092,-0.008,filter_23
-0.073,0.128,-0.106,-0.001,-0.086,0.04,filter_24
-0.066,-0.259,-0.08,-0.003,-0.068,-0.05,filter_25
-0.462,-0.309,-0.447,-0.098,-0.078,-0.079,filter_26
-0.511,-0.358,-0.476,-0.112,-0.11,-0.112,filter_27
-0.017,-0.247,-0.028,-0.077,-0.038,-0.115,filter_28
0.023,0.171,0.0,0.036,0.081,0.031,filter_29
-0.412,-0.201,-0.407,-0.1,-0.1,-0.07,filter_30
0.029,0.088,0.015,-0.02,-0.112,-0.001,filter_31
0.131,0.389,0.058,0.038,-0.072,0.132,filter_32
-0.365,-0.472,-0.355,-0.097,-0.056,-0.162,filter_33
-0.148,-0.071,-0.107,-0.046,-0.041,-0.088,filter_34
0.012,-0.107,-0.003,-0.026,-0.081,-0.085,filter_35
0.009,0.177,-0.046,0.002,-0.04,0.069,filter_36
-0.508,-0.376,-0.476,-0.122,-0.108,-0.099,filter_37
-0.018,0.019,-0.069,-0.018,-0.057,0.021,filter_38
