unmod1,human,vleng,Andrev2015,muscle,pc3,channel_name
-0.0,0.02,0.01,0.008,0.034,0.003,filter_0
-0.201,-0.077,-0.204,-0.029,-0.094,0.002,filter_1
0.034,0.263,0.012,0.038,-0.129,0.111,filter_2
-0.013,-0.182,-0.061,-0.02,-0.083,-0.042,filter_3
-0.032,-0.21,-0.027,-0.041,0.001,-0.095,filter_4
-0.306,-0.162,-0.298,-0.084,-0.039,-0.074,filter_5
-0.009,-0.115,-0.039,-0.008,-0.031,-0.08,filter_6
-0.638,-0.431,-0.594,-0.136,-0.19,-0.118,filter_7
-0.006,0.17,-0.012,0.011,0.022,0.062,filter_8
-0.013,0.128,-0.028,0.015,-0.065,0.04,filter_9
-0.001,0.089,-0.054,-0.02,-0.066,0.038,filter_10
-0.012,0.105,-0.034,0.003,-0.046,0.018,filter_11
-0.025,-0.101,-0.054,0.001,-0.059,-0.026,filter_12
0.099,0.197,0.096,0.014,0.062,0.051,filter_13
-0.052,-0.039,-0.052,-0.011,-0.17,0.008,filter_14
0.01,0.073,0.001,0.027,0.097,0.031,filter_15
0.023,0.12,0.017,-0.038,-0.097,-0.012,filter_16
-0.092,-0.317,-0.099,-0.041,0.017,-0.106,filter_17
0.049,0.24,0.047,-0.026,-0.099,0.038,filter_18
0.077,0.255,0.011,0.026,-0.018,0.09,filter_19
-0.091,-0.085,-0.107,0.005,-0.014,0.01,filter_20
0.073,0.22,0.053,0.035,-0.033,0.083,filter_21
-0.03,-0.216,-0.015,-0.013,0.017,-0.069,filter_22
0.07,0.085,0.01,0.013,-0.048,0.083,filter_23
-0.012,0.166,-0.022,-0.025,-0.039,-0.002,filter_24
-0.215,-0.254,-0.257,-0.081,-0.065,-0.103,filter_25
-0.05,0.025,-0.074,-0.012,-0.014,0.04,filter_26
-0.031,0.244,-0.013,0.023,-0.041,0.056,filter_27
0.025,0.194,-0.018,0.045,-0.077,0.124,filter_28
0.067,0.248,0.055,0.018,-0.074,0.095,filter_29
0.098,0.341,0.077,0.065,-0.092,0.13,filter_30
-0.067,0.048,-0.046,0.018,-0.023,0.029,filter_31
-0.009,0.023,-0.025,-0.005,-0.094,-0.064,filter_32
0.022,-0.033,-0.01,0.018,-0.085,0.033,filter_33
-0.05,-0.008,-0.086,-0.02,-0.095,0.022,filter_34
0.016,0.067,-0.044,-0.012,-0.081,0.05,filter_35
-0.215,-0.082,-0.199,-0.031,-0.058,0.014,filter_36
-0.33,-0.313,-0.329,-0.075,-0.049,-0.11,filter_37
-0.106,-0.133,-0.141,-0.046,0.06,-0.052,filter_38
0.017,0.037,0.019,0.032,-0.05,0.056,filter_39
-0.002,0.063,0.001,0.043,-0.045,0.053,filter_40
-0.009,-0.01,-0.026,-0.023,0.024,0.005,filter_41
-0.016,-0.036,-0.054,0.022,-0.125,0.014,filter_42
0.062,0.142,0.004,0.001,0.044,0.04,filter_43
0.011,0.031,-0.045,-0.011,-0.133,0.048,filter_44
-0.016,0.04,-0.015,0.013,-0.007,0.049,filter_45
0.079,0.215,0.037,-0.021,0.013,0.053,filter_46
-0.546,-0.298,-0.499,-0.118,-0.123,-0.089,filter_47
-0.098,-0.094,-0.126,-0.03,-0.117,-0.042,filter_48
0.031,0.018,-0.027,0.016,-0.08,0.029,filter_49
-0.086,-0.119,-0.131,-0.033,-0.101,-0.007,filter_50
0.036,0.143,0.045,-0.034,-0.0,-0.0,filter_51
-0.018,0.017,-0.044,-0.025,-0.012,-0.033,filter_52
-0.109,-0.093,-0.113,-0.025,-0.051,-0.03,filter_53
-0.086,-0.038,-0.121,-0.018,-0.076,0.036,filter_54
-0.224,-0.202,-0.244,-0.059,-0.157,-0.021,filter_55
-0.114,-0.257,-0.113,-0.046,-0.038,-0.095,filter_56
0.129,0.368,0.077,0.047,-0.055,0.145,filter_57
-0.144,0.005,-0.171,-0.029,-0.09,0.044,filter_58
-0.097,-0.203,-0.106,0.016,0.067,-0.031,filter_59
-0.083,-0.249,-0.116,-0.067,-0.073,-0.106,filter_60
-0.104,-0.16,-0.157,-0.018,-0.109,-0.039,filter_61
-0.017,-0.026,-0.068,-0.04,-0.04,-0.005,filter_62
-0.18,-0.173,-0.178,-0.036,-0.05,-0.024,filter_63
-0.057,0.035,-0.065,-0.025,-0.062,0.008,filter_64
-0.039,0.197,-0.042,-0.015,-0.016,0.058,filter_65
-0.074,0.004,-0.082,0.011,-0.096,0.009,filter_66
0.017,0.092,0.002,0.022,-0.021,0.054,filter_67
-0.068,-0.054,-0.104,0.001,-0.082,-0.009,filter_68
0.019,0.049,-0.004,0.038,-0.062,0.065,filter_69
-0.2,-0.309,-0.233,-0.031,-0.15,-0.075,filter_70
-0.527,-0.323,-0.508,-0.145,-0.181,-0.14,filter_71
-0.27,-0.403,-0.268,-0.049,-0.114,-0.095,filter_72
-0.004,0.162,-0.015,0.004,-0.108,0.029,filter_73
0.055,0.098,0.007,-0.002,-0.022,0.061,filter_74
-0.294,-0.249,-0.306,-0.051,-0.161,-0.026,filter_75
-0.025,-0.104,-0.059,0.004,-0.018,-0.038,filter_76
0.099,0.245,0.073,0.012,0.022,0.084,filter_77
-0.019,-0.03,-0.025,0.006,0.004,0.011,filter_78
0.081,0.298,0.079,0.039,-0.128,0.104,filter_79
0.014,0.036,-0.034,-0.0,-0.099,0.045,filter_80
0.019,0.178,0.01,-0.004,-0.07,0.101,filter_81
-0.102,0.067,-0.107,-0.003,-0.17,-0.014,filter_82
