Y_true,Y_pred,with_uAUG,with_GCC,with_GGC,with_CGG,with_GGG,with_CCC,with_TTT,with_AAA,recon_acc
7.47846401403,7.68476,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,101
7.78760837599,7.6256723,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,101
5.08387626551,5.157508,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,98
3.99987271834,4.286854,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,100
7.746301218919999,7.429372,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,98
6.52916478232,6.421346,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,100
8.27195236506,7.80142,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,94
8.07426580032,7.286608,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,101
6.08111297571,4.875394,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,101
8.14718095182,7.6105776,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,100
7.54133200498,7.6587596,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,100
4.969831195199999,5.0944896,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,92
8.01222826109,7.8225517,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,100
5.64035231851,8.171321,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,101
7.027348561689999,6.694704,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,100
3.7910135272099996,4.4258423,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,100
7.8790458066,7.7088623,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,101
7.4851069508300005,7.541036,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,101
7.461505735519999,6.811308,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,98
7.72809291672,7.8422055,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,101
5.41686115964,4.4660115,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,88
7.720209871689999,7.790014,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100
7.687058767819999,7.37904,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,98
5.26999919866,5.316837,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,94
6.31450611647,5.5194397,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,100
7.4559078161300025,7.2912393,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,98
5.26208921358,5.104503,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,99
5.36600132684,5.490003,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,100
8.07968814199,7.999572,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,100
5.56755779244,5.483598,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,98
6.6957340576,6.352736,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,97
7.3143225346500005,7.374196,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,99
5.5200634751600015,4.599032,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,95
7.11199904133,7.898675,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,95
5.18009887144,5.4040484,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,99
7.575398020289999,6.5193057,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,91
5.77987757021,5.385062,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,98
8.4524727638,8.003719,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,90
4.18641249485,5.098274,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,99
3.7253415322800003,4.058705,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,100
5.083015366130001,5.331808,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,99
8.320286933450001,7.586659,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,89
3.34463568324,3.3607254,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,99
4.63304338876,4.9897685,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,99
7.73907584749,7.828477,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,100
3.6729984444099997,4.075538,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,101
7.65011836502,7.2584934,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,94
7.8519860554299985,7.1465898,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,95
3.35894905242,3.108883,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,98
7.45080674854,7.2181854,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,99
7.85668249857,7.19692,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,100
7.202695769369999,7.261427,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,100
3.2863221876999997,3.1596909,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,100
4.89114342677,5.225813,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,99
6.15618869382,6.8694487,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,100
6.053528548049999,7.4063296,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,100
3.49290528311,3.626048,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,96
8.108155289079999,7.4902735,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,100
8.261153021819997,7.8986654,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,100
7.8755148222,7.2572026,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,98
7.30990772677,7.50359,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,100
6.25269812756,5.444557,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,98
5.18219967885,4.8333964,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,94
7.37214218987,7.4012814,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,100
8.213029114560001,7.802462,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,98
6.11438568671,5.9303174,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,97
6.05798939696,5.665065,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,101
7.66196509393,7.3579125,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,100
6.2500767374800015,6.3241863,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,100
7.40135835493,7.8826747,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,99
7.780638038099999,7.744897,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,100
7.57623415364,7.9224925,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,101
8.6799773554,7.3280897,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,101
7.57895323905,7.254115,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,100
7.29240256195,7.3999557,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,98
4.6201544917,4.821011,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,101
6.43790978299,6.907285,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,100
7.84943880232,7.9043856,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,101
6.52054488592,7.559469,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100
5.28278477954,4.4759865,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,100
8.22713695891,8.098596,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,101
7.76197181297,6.946403,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,100
7.18431979475,7.478228,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,100
7.97759347408,8.316408,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,96
4.8834235571199995,5.2325835,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,93
7.44983097582,7.5722966,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,94
8.41351168043,8.306854,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,97
6.94224569121,6.917737,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,99
8.21241824728,7.602194,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,100
4.11327669111,4.0832224,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,99
8.32998780089,7.2770224,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,99
4.40845889544,4.4298916,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,99
