Y_true,Y_pred,with_uAUG,with_GCC,with_GGC,with_CGG,with_GGG,with_CCC,with_TTT,with_AAA
-1.7538978268395968,-1.8490049,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
-1.5701745460709715,-1.8224028,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
-1.9320415283403487,-2.0704575,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
-1.9797046983332969,-1.9287373,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
-0.7269397415140972,-0.9290172,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
-1.6533786409193088,-1.6728016,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
-1.4162930139422067,-1.6136266,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-1.588535002444081,-1.3692639,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
-1.3354169265116804,-0.7979592,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
0.17006065897304046,0.19910552,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.9319158697367504,0.74823827,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.8624751280358687,0.72223395,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
-1.6597147561869732,-1.498003,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
-1.4547341896166448,-1.0590563,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
-1.4841199215532759,-1.1762102,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
-1.2679371543626408,-1.066735,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
-1.5667752318264063,-1.884407,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
-1.6339246558513658,-1.7712469,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
-1.2723081314935107,-1.4713581,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
-1.6214599790281832,-2.0829184,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
-0.6117125658392141,-0.3645172,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
-1.6246870643981608,-1.5579884,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
-2.0724668455758875,-2.3034692,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
-2.212299833796004,-1.9692363,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
-1.416752782767044,-1.7405752,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
-1.7691259439198828,-2.0031674,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
-2.2862293395807765,-1.4460182,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
-1.272601911663224,-1.1824273,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
-1.7328999946880477,-2.1150696,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
-1.1406325935038064,-1.6795838,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
-0.5292766638412624,-1.0658177,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
0.6523235033799962,0.86244816,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
-1.8587247795077941,-1.6172105,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0.8014511879510879,0.7799737,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
-1.3942817778367118,-1.637666,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
0.6052479633781637,0.6240234,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
-2.106840303214946,-1.5840447,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
-1.0472547587685177,-0.83731747,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
-1.0566652950161683,-0.8876621,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
-0.9125456890000077,-0.8804834,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
-1.0662065246118702,-1.1793804,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
-1.7832353885431933,-0.00271687,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
-1.4752482340502695,-1.1961734,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
1.065364023826169,0.7740717,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
0.5597966159017517,0.48789582,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
-0.9577821080800628,-0.9098901,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
-1.9196453410635297,-1.8778696,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
-1.7904068655189467,-1.5920906,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1.1226457659881923,0.9150748,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
-1.4648938267521745,-1.1050489,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
-1.3502678702558537,-1.366521,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
-2.021519353079916,-1.784034,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
-1.3719885714513842,-0.9298321,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
-1.3167682278899988,-0.97510135,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
-1.0947821596695413,-0.85955185,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
-1.495698987395328,-1.3261288,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.8356473817848323,0.75383055,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
