Y_true,Y_pred,with_uAUG,with_GCC,with_GGC,with_CGG,with_GGG,with_CCC,with_TTT,with_AAA,recon_acc
7.5990813026199975,7.469181,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,100
4.72784863567,4.903295,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,97
7.8035645017999995,7.725517,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,100
8.41028203524,8.105351,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,98
5.38281244853,5.4655786,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,87
5.63065937739,4.490163,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,90
7.799762853230001,7.633123,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,92
7.73807586263,6.2076955,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,96
6.652646789330001,6.2457166,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,90
8.444353304560003,7.9656157,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,101
8.238441160689996,8.235797,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,89
7.7430145117799976,7.8027263,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,100
7.730009181489999,7.1988916,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,96
7.7901747632700005,7.6164026,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,100
8.12634641735,8.277221,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,96
8.12214122888,7.449045,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,99
8.14077820121,8.192468,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,100
7.38146649256,6.6814103,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,101
7.887418564710001,8.120269,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,99
6.49424879729,7.0104246,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,93
4.9054061631,5.5582194,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,90
8.28165150347,7.7311563,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,94
6.236167700959999,5.842702,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,98
7.90155646712,6.8705063,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,101
7.47990797785,6.728212,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,83
7.7875035949399996,6.9045706,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,99
7.8560376539100005,8.070559,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,100
7.39855601072,7.0943503,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,93
7.63516337477,6.8376055,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,87
7.513184486619999,7.1796527,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,91
8.01075418954,7.725369,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,96
6.84641680125,6.302697,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,100
4.1370820560300015,4.364261,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,97
5.11825986768,3.7510304,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,98
4.94186879616,5.2727423,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,94
6.52475291777,5.6261654,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,100
8.2982516858,7.646889,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,97
4.4324283400499995,4.1430655,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,96
6.778079225190001,6.5341864,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,101
7.847036821939999,7.4059787,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,100
7.791581699489999,7.5814404,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,98
5.20527589844,5.6768055,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,96
8.099352257360001,7.9487658,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,100
7.55036439168,7.661939,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,87
7.91428927727,7.6652536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99
8.26856813094,7.367892,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,99
7.54025140505,7.579346,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,100
5.94351349015,6.6542826,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,98
6.3690414434300004,5.970709,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,100
7.97503337737,7.091186,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,100
3.01909846386,2.2845316,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,98
7.197117554,7.0620003,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,99
7.405163121639999,6.9341455,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,96
3.4924802702800006,3.1939535,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,101
