Y_true,Y_preed,with_uAUG
8.00187219829,7.511619,0.0
7.7834761861300015,7.3767347,0.0
2.9561059898,3.7784834,1.0
7.089980468310001,7.424291,0.0
6.507399855269999,7.120509,0.0
6.259178654409999,6.9104834,1.0
7.27150631505,7.115549,0.0
7.9646166302,7.4708056,1.0
7.5826188857800005,8.324852,0.0
6.97288534642,7.398911,0.0
6.78809092291,7.471772,0.0
7.87272427778,8.569643,1.0
7.938356488049999,7.386051,0.0
5.89075974401,6.0337973,1.0
6.49599093794,5.9855833,1.0
4.27051527121,3.7732983,1.0
7.79211096263,7.5913224,0.0
4.29264300696,4.8083453,1.0
4.8055266672800006,4.9200764,1.0
7.90630607755,7.711284,0.0
6.48394998059,6.1635375,1.0
8.1623534209,7.8511786,0.0
4.78389125187,4.364507,1.0
6.17635012982,6.1016893,1.0
3.61372312871,6.5174956,1.0
7.18064865075,7.9529676,0.0
4.0212222970300004,4.4440956,1.0
7.84429458843,8.769685,1.0
5.08695115901,5.026492,1.0
8.23626837109,8.019985,0.0
5.452782390219999,5.56019,1.0
3.35116941309,2.7528963,1.0
7.80025625078,7.9015656,0.0
7.88171539036,8.477418,0.0
4.41705069982,4.9119115,1.0
7.32805206607,6.344805,1.0
5.69698693819,5.801629,1.0
3.6552423860900003,2.7538729,1.0
3.7115836322000004,3.5098667,1.0
7.233951095599999,7.262669,0.0
5.180261561580001,5.2992454,1.0
7.67460403283,7.216041,0.0
6.59465297139,6.860675,1.0
7.109606514480001,7.493633,0.0
8.187285482410001,7.6407485,0.0
8.3682486483,7.665591,0.0
3.61481547254,4.582967,1.0
4.09035735269,5.2287035,1.0
7.78094091498,7.989254,0.0
8.068033745,7.58833,0.0
7.442187310689999,7.6865635,0.0
5.13316901948,4.9479184,1.0
2.9262267368700003,3.5175934,1.0
5.011177330340001,5.722349,1.0
7.46549373521,7.5506115,0.0
7.218741769260001,7.4589233,0.0
4.80375967301,3.8793125,1.0
7.926388902539999,8.028695,0.0
7.858126294430001,8.32497,1.0
4.45493692076,5.224481,1.0
7.99011579041,7.6999583,0.0
3.8363798820699997,3.2883806,1.0
3.5667512772800003,4.613097,1.0
5.62599204281,6.4466276,1.0
3.15821389309,2.0216484,1.0
7.487229481160001,7.606747,0.0
6.49577967546,7.545402,0.0
7.8962820435399985,7.7101264,0.0
7.622508510189999,8.117759,0.0
7.699346894310001,7.7075257,0.0
6.64987844423,6.1557574,1.0
4.2185597490400015,4.6111007,1.0
4.906596898269999,3.8348122,1.0
3.75769571247,8.711806,1.0
7.99710592352,8.210302,0.0
8.408264730219999,7.981846,0.0
8.02362207295,7.6473837,0.0
3.9135655531199998,4.606525,1.0
7.57384557623,7.3611083,0.0
6.236167700959999,6.345582,1.0
6.7520568160300005,7.5508976,0.0
5.55316778921,5.444875,1.0
7.22572949355,7.304745,0.0
3.8703415434699995,4.936129,1.0
6.87277418249,7.3076158,0.0
7.70339121973,7.1044164,1.0
5.27098604868,5.0767584,1.0
7.84907105329,8.2515545,0.0
6.066796227699999,6.546753,1.0
7.38760488122,8.180174,0.0
8.20521680692,8.322216,1.0
7.33905294377,7.6740637,0.0
4.35475029457,3.5237517,1.0
4.82669506299,5.0115137,1.0
8.13827225975,8.229702,0.0
7.94866125239,8.211622,1.0
5.48588823222,5.676843,1.0
6.74191642107,6.088418,1.0
5.52492324715,6.1449075,1.0
8.19523470137,7.7046833,0.0
7.232688122539999,7.9824953,0.0
2.79334328342,3.0142536,1.0
7.8747032900699985,7.72817,1.0
7.556212426889999,7.7084923,0.0
7.85055613308,7.5023117,0.0
3.1615746215400002,1.6157273,1.0
6.6702991026100005,5.852649,1.0
4.1546763983099995,5.043391,1.0
3.50188325119,4.9614067,1.0
7.800469040389999,7.23152,1.0
2.77152138292,3.9232316,1.0
7.95758409263,6.8042827,1.0
7.617839998989999,7.611922,0.0
7.470254060539999,7.095887,0.0
7.8676830886800015,7.876127,0.0
7.26405901425,6.9497404,0.0
8.593684300960001,8.762434,1.0
5.4058378854699995,7.470536,0.0
6.7629595882599975,7.2317376,0.0
3.63346891764,3.9572835,1.0
7.72759626028,7.746102,0.0
7.73357855252,7.7808647,0.0
7.745654774,7.08481,0.0
5.890441378069999,6.47733,1.0
5.21014008237,5.7941046,1.0
7.98964326411,8.054358,0.0
7.4485027827499986,7.168026,1.0
8.02790995599,7.5836463,0.0
5.79192779946,5.935086,1.0
5.14279573552,5.7645698,1.0
7.803464758060001,7.74642,0.0
8.174985682560001,7.3359976,0.0
7.5108719659000025,7.467491,0.0
6.43383569004,6.9629445,0.0
5.563773063180001,6.2787943,1.0
5.44931726809,6.111892,1.0
8.32243671729,7.837503,0.0
6.864047601109999,5.41234,1.0
7.422956649730001,6.9407773,0.0
7.19631700329,8.029707,1.0
3.8250580667800014,4.0091305,1.0
7.9574893875,8.347304,0.0
6.51734210457,6.489978,1.0
7.715154342999999,7.5893884,0.0
7.38671659457,7.156738,1.0
3.28551805854,7.6715417,0.0
3.99648192509,5.451605,1.0
7.35760794288,7.7167454,0.0
3.6232806015699994,2.680822,1.0
8.31211003729,8.126518,0.0
2.9985258247,2.747652,1.0
3.88129993856,4.95781,1.0
6.75963069577,6.4196305,1.0
3.3033497312800004,4.890709,1.0
7.877485202230001,8.188171,0.0
3.4337782523000002,2.9863806,1.0
7.56146171396,7.475519,0.0
6.0911732788999995,6.514787,1.0
7.489444889139999,8.272721,1.0
4.45034306768,4.6032715,1.0
3.9664505934,4.4956555,1.0
6.9579778974,6.6806746,1.0
7.34094447502,7.1860094,0.0
8.22907369277,8.188729,0.0
6.20085134405,6.090169,1.0
7.47336884624,7.6035695,1.0
7.0836886321899994,7.5364785,0.0
6.31450611647,5.509227,1.0
8.28144437794,8.155607,0.0
5.568525579249999,5.9223456,1.0
5.3845644912,4.990417,1.0
8.254562302150001,7.924435,0.0
5.16239440431,5.027118,1.0
7.45978218582,7.695603,0.0
7.176163729380001,6.822236,1.0
8.10571421684,7.88368,0.0
7.719063257949999,8.345049,0.0
6.303706472030001,5.8471923,1.0
4.9472408340300005,5.1557717,1.0
7.69530473719,7.6026807,0.0
7.436710442130001,6.9676156,0.0
8.05244558361,7.276765,0.0
7.75456940303,7.405873,0.0
